n,key,url,classifier,category,spec_areas,confidence,rationale,summary,description,project,issuetype,components,labels,links,haiku_category,haiku_confidence
99,CSHARP-2308,https://jira.mongodb.org/browse/CSHARP-2308,opus,not_relevant,,high,LINQ provider bug in nested Select translation; C#-specific ORM/LINQ mapping not covered by any cross-driver spec.,Nested select which reference parent select actually still references child,"Consider the program below:

{code:c#}
static void Main()
{
		var server = new MongoClient(new MongoUrl(""mongodb://localhost:27017""));
		var db = server.GetDatabase(""FooBar""); 
		var foos = db.GetCollection<FooNest>(""Foos"");
		
		foos.DeleteMany((x) => true);
		
		foos.InsertOne(
			new FooNest{ 
				Name = ""Parent"", 
				NestedCollection = new []{
					new FooNest { 
						Name = ""Child""
					}
				}
			});
		
		var itms2 = foos.AsQueryable()
			.Select(top => top.NestedCollection
				.Select(child => new {ParentName = top.Name, child.Name}));
				
		Console.WriteLine(""Items returned: "" + itms2.ToList().ToJson());
		Console.WriteLine();
		Console.WriteLine(""Query translation: "" + itms2.ToString());
}

class FooNest
{
	public string Name;
	public IEnumerable<FooNest> NestedCollection;
}
{code}


The result of running this program is:
{code}
Items returned: [[{ ""ParentName"" : ""Child"", ""Name"" : ""Child"" }]]
{code}
It seems that the driver does not take into account that we want the Name property of the top object instead of the child object. The translation is printed out like this:
{code}
Query translation: aggregate([{ ""$project"" : { ""__fld0"" : { ""$map"" : { ""input"" : ""$NestedCollection"", ""as"" : ""child"", ""in"" : { ""ParentName"" : ""$$child.Name"", ""Name"" : ""$$child.Name"" } } }, ""_id"" : 0 } }])
{code}
Obviously the $map operator has no reference to the ""parent"" object. This behavior is wrong. The best would be if the driver used the ""parent"" object. But if that is not possible it would be better that the driver threw an error.",CSHARP,Bug,LINQ,rp-track,,avoidable_by_spec_conformance,medium
100,CSHARP-2390,https://jira.mongodb.org/browse/CSHARP-2390,opus,not_relevant,,medium,Intermittent server-selection timeout under autoscale; environment/connectivity issue with no specific spec deviation identified.,Intermittent Server Selection Connection Timeout on Server Startup,"This is a copy and paste of a post I made in the Google forum. It doesn't appear anyone is active there (I may be wrong) so I'm creating a bug report over here.


----
*Here is some information about our setup:*
- MongoDB version: 3.2.10
- Driver version: 2.5.0
- Replicaset with 3 nodes (1 primary, 2 secondary)
- MongoDB is hosted in Azure on a VM.
- Services that connect with mongoDB are running in an Azure Web App.
- Connection string: mongodb://username:password@server1.xxx.com:270xx,server2.xxx.com:270xx,server3.xxx.com:270xx/?replicaSet=repSetName&maxIdleTimeMS=60000""
 
*The problem:* 
When a new server instance is created due to autoscale trigger rules, *sometimes* the mongo client will throw the following error on the new instance (but not always; it's intermittent):
 
 
A timeout occured after 30000ms selecting a server using CompositeServerSelector\{ Selectors = MongoDB.Driver.MongoClient+AreSessionsSupportedServerSelector, LatencyLimitingServerSelector{ AllowedLatencyRange = 00:00:00.0150000 } }. Client view of cluster state is \{ ClusterId : ""1"", ConnectionMode : ""Automatic"", Type : ""ReplicaSet"", State : ""Disconnected"", Servers : [{ ServerId: ""{ ClusterId : 1, EndPoint : ""Unspecified/server3.azure.com:270xx"" }"", EndPoint: ""Unspecified/server3.azure.com:270xx"", State: ""Disconnected"", Type: ""Unknown"" }, \{ ServerId: ""{ ClusterId : 1, EndPoint : ""Unspecified/server1.azure.com:270xx"" }"", EndPoint: ""Unspecified/server1.azure.com:270xx"", State: ""Disconnected"", Type: ""Unknown"" }, \{ ServerId: ""{ ClusterId : 1, EndPoint : ""Unspecified/server2.azure.com:270xx"" }"", EndPoint: ""Unspecified/server2.azure.com:270xx"", State: ""Disconnected"", Type: ""Unknown"" }] }.
   at MongoDB.Driver.Core.Clusters.Cluster.ThrowTimeoutException(IServerSelector selector, ClusterDescription description)
   at MongoDB.Driver.Core.Clusters.Cluster.SelectServerHelper.WaitingForDescriptionToChange()
   at MongoDB.Driver.Core.Clusters.Cluster.SelectServer(IServerSelector selec",CSHARP,Bug,Connectivity,,,driver_spec_nonconformance,medium
101,CSHARP-2584,https://jira.mongodb.org/browse/CSHARP-2584,opus,not_relevant,,low,"User report of concurrent updates losing data; thin description, likely user error or unspecified concurrency, not clearly a spec violation.",Concurrent updates are not all done,"Pushing items to a list in a document in parallel doesn't push all items.

Please see my test code here [https://stackoverflow.com/questions/55640740/why-is-my-mongo-net-driver-code-not-concurrency-safe]",CSHARP,Bug,Operations,,,not_relevant,low
102,CSHARP-2595,https://jira.mongodb.org/browse/CSHARP-2595,opus,not_relevant,,high,.NET Core preview4 broke assembly loading in BsonClassMap; runtime/binding bug unrelated to any spec.,BsonClassMap type initializer throws exception,"The exception is thrown at: [https://github.com/mongodb/mongo-csharp-driver/blob/660658d4253f06506c1d60aae7ef68745ab609b2/src/MongoDB.Bson/Serialization/BsonClassMap.cs#L40]

 

It used to work up to and including dotnet core 3.0 preview3.

 

Today I upgraded to preview4, causing this breaking change.

I researched the issue briefly, apparently the new core version does not include the System.Runtime.Serialization.Formatters reference in CoreLib (so the System.Runtime.Serialization.FormatterServices type cannot be loaded this way).

 

Assembly.Load(""System.Runtime.Serialization.Formatters"") will work instead of  typeof(string).GetTypeInfo().Assembly as a method to load the assembly, but it will not work with .net framework (so there is some versioning code required probably).",CSHARP,Bug,Serialization,,Related:CSHARP-2592,avoidable_by_spec_conformance,medium
103,CSHARP-2693,https://jira.mongodb.org/browse/CSHARP-2693,opus,not_relevant,,high,Performance improvement to byte buffer allocations; no spec rule involved.,Performance: Reduce byte buffer allocations while writing to server,"Similar to https://jira.mongodb.org/browse/CSHARP-2692, calling Utf8Encoding.GetBytes without specifying a byte buffer should be avoided at all costs for best performance.

The current implementation of ByteBufferStream does already have a concept (using the ""_tempUtf8"" buffer) where it ends up calling the fast GetBytes() overload that doesn't allocate its own buffer for strings up to a length that fits into a byte[128] buffer. The 128 elements are a hard limit, though, so for bigger strings, there is a performance penalty.

I suggest changing this by auto-growing the byte[128] buffer to handle bigger strings, too. This is trading a little bit of memory for performance.",CSHARP,Improvement,Performance|Serialization,,,not_relevant,high
104,CSHARP-3425,https://jira.mongodb.org/browse/CSHARP-3425,opus,not_relevant,,high,"LINQ ToLower().Equals not supported; C# LINQ provider feature gap, not a spec requirement.","x => x.ToLower().Equals(""firstname"") throws NotSupportedException","Hello,

*AS-IS :*
When i'm trying to execute the following LINQ request {{x => x.ToLower().Equals(""firstname"")}}, the following exception is thrown: {{toLower is not supported}}, i'm using the version '2.11.6'.
I need this feature to perform ""case insensitive"" search.

*TO-BE:*
I made some modifications in the pull request to support this feature : https://github.com/mongodb/mongo-csharp-driver/pull/440",CSHARP,Bug,LINQ3,,,not_relevant,medium
105,CSHARP-3663,https://jira.mongodb.org/browse/CSHARP-3663,opus,test_infrastructure,logging,low,Add simple logging instrumentation for tests; internal test plumbing related to DRIVERS-1204 logging spec.,Introduce simple logging instrumentation to be used in tests,,CSHARP,Improvement,Internal,,Related:DRIVERS-1204,driver_spec_nonconformance,medium
106,CSHARP-4347,https://jira.mongodb.org/browse/CSHARP-4347,human,not_relevant,logging|server-selection,medium,Issue split from DRIVERS-1671 to add log messages for server selection per logging spec; spec compliance work.,Add log messages to Server selection spec,"This ticket was split from {{DRIVERS-1671}}, please see that ticket for a detailed description. ",CSHARP,Improvement,Logging,,Issue split:DRIVERS-1671,driver_spec_nonconformance,medium
107,CSHARP-4550,https://jira.mongodb.org/browse/CSHARP-4550,opus,not_relevant,,high,C# LINQ3 NewExpression vs MemberInitExpression translator inconsistency; language-specific LINQ provider bug.,NewExpression and MemberInitExpression behaviour differs,"Following on from CSHARP-4524, if you add a member initialization expression to the constructor, you switch from {{NewExpressionToAggregationExpressionTranslator}} to {{MemberInitExpressionToAggregationExpressionTranslator}}. The problem is that the latter requires exact matches of property names even for ctor parameters. Additionally we don't map readonly fields and properties causing the projection to fail as soon as a MemberInit expression is added to the constructor.

The desired behaviour is that:
{code}new Data(x.Value) { Optional = 42 }{code}
(using {{MemberInitExpressionToAggregationExpressionTranslator}}) should work similarly to:
{code}new Data(x.Value){code}
(using {{NewExpressionToAggregationExpressionTranslator}}). Adding an optional MemberInit expression shouldn't cause the projection to fail.

{code}
[Fact]
public void Projection_using_MemberInit_should_work()
{
    RequireServer.Check().Supports(Feature.FindProjectionExpressions);
    var collection = CreateCollection(LinqProvider.V3);
    var find = collection.Find(""{}"").Project(x => new SpawnDataWithOptionalExtraInfo(x.StartDate, x.SpawnPeriod) { ExtraInfo = 42 });
                                                                                                                                                                        
    var results = find.ToList();
                                                                                                                                                                        
    var projection = find.Options.Projection;
    var serializerRegistry = BsonSerializer.SerializerRegistry;
    var documentSerializer = serializerRegistry.GetSerializer<MyData>();
    var renderedProjection = projection.Render(documentSerializer, serializerRegistry, LinqProvider.V3);
    renderedProjection.Document.Should().Be(""{ Date : '$StartDate', Period : '$SpawnPeriod', ExtraInfo: 42, _id : 0 }"");
                                              ",CSHARP,Improvement,LINQ3,,Gantt End to Start:CSHARP-4632|Related:CSHARP-4524,driver_spec_nonconformance,medium
108,CSHARP-4839,https://jira.mongodb.org/browse/CSHARP-4839,opus,driver_spec_nonconformance,index-management,high,Issue split from DRIVERS-2761 to avoid appending write/read concern in Atlas Search Index helper commands; spec compliance fix.,Avoid Appending Write/Read Concern in Atlas Search Index Helper Commands,"This ticket was split from {{DRIVERS-2761}}, please see that ticket for a detailed description. ",CSHARP,Bug,Index Management,,Issue split:DRIVERS-2761,driver_spec_nonconformance,high
109,CSHARP-5466,https://jira.mongodb.org/browse/CSHARP-5466,opus,test_infrastructure,transactions,high,Issue split from DRIVERS-3081 to relax optional fields and add appName for failPoints in transactions unified tests.,Relax requirement for optional fields and introducing appName for failPoints for transactions unified tests,"This ticket was split from {{DRIVERS-3081}}, please see that ticket for a detailed description. ",CSHARP,Improvement,Transactions,,Fix:CSHARP-3678|Issue split:DRIVERS-3081,not_relevant,high
110,CSHARP-5646,https://jira.mongodb.org/browse/CSHARP-5646,opus,not_relevant,crud,medium,Issue split from DRIVERS-3221; per-driver implementation of vector similarity match expressions.,Implement vector similarity match expressions,"This ticket was split from {{DRIVERS-3221}}, please see that ticket for a detailed description. ",CSHARP,Improvement,,,Documented:DOCSP-58290|Issue split:DRIVERS-3221,driver_spec_nonconformance,high
111,CSHARP-5852,https://jira.mongodb.org/browse/CSHARP-5852,opus,not_relevant,bson,medium,Per-driver split from DRIVERS-3252 to add expression for BinData subtype; implementing cross-driver spec feature.,Expression to determine the subtype of BinData field,"This ticket was split from {{DRIVERS-3252}}, please see that ticket for a detailed description. ",CSHARP,Improvement,,,Issue split:DRIVERS-3252|Related:CSHARP-5735,driver_spec_nonconformance,high
112,CSHARP-5906,https://jira.mongodb.org/browse/CSHARP-5906,opus,not_relevant,transactions|retryable-writes,medium,Issue split from DRIVERS-3411; per-driver implementation of transaction state retry behavior fix.,Transaction state is preserved across retries,"This ticket was split from {{DRIVERS-3411}}, please see that ticket for a detailed description. ",CSHARP,Improvement,Backpressure|Transactions,,Issue split:DRIVERS-3411,cross_driver_inconsistency,medium
113,CXX-842,https://jira.mongodb.org/browse/CXX-842,opus,not_relevant,auth,low,"User support question about MONGODB-CR auth failing; thin description, no clear spec deviation identified.",C++ 11 master driver - can't execute authentification,"Hello, folks!

I'm trying to connect to remote database with login/password and enabled MONGODB-CR auth mode.

So I could not achieve it:
{code}
std::string connection_string = ""mongodb://user:REDACTED@xxxx:27017/"";
mongocxx::instance inst{};
mongocxx::client conn{mongocxx::uri{connection_string}};

std::cout << ""username: "" << conn.uri().username() << std::endl;
std::cout << ""password: "" <<  conn.uri().password() << std::endl;

auto db = conn[""fastnetmon""];
std::string collection_name = ""configuration"";

if (!db.has_collection(collection_name)) {
    std::cout << ""Connection failed"" << std::endl;
}
{/code}

From Mongo's side I haven't saw any auth tries:
{code}
2016-02-12T16:10:32.132+0100 I NETWORK  [initandlisten] connection accepted from xxxx:46591 #12 (1 connection now open)
2016-02-12T16:10:32.175+0100 I NETWORK  [conn12] end connection xxx:46591 (0 connections now open)
{/code}

But I definitely have this database and could connect to it with standard mongo client:
{code}
mongo xxxxx/fastnetmon --username user --password cooPh5ohcei0Iewe  --authenticationMechanism  MONGODB-CR  --authenticationDatabase admin
{/code}

Could you help me? That's really important because I could not ask folks on other side to disable authentication. ",CXX,Bug,,,,driver_spec_nonconformance,medium
114,DRIVERS-1649,https://jira.mongodb.org/browse/DRIVERS-1649,opus,spec_authoring,stable-api,high,DRIVERS coordination ticket to update Stable API spec/tests for renamed server parameter; spec authoring.,Replace usages of 'acceptAPIVersion2' with 'acceptApiVersion2',"{panel:title=Downstream Change Summary|titleBGColor=#239eb0|bgColor=#c2d2c2}
The 'acceptAPIVersion2' server parameter has been renamed to 'acceptApiVersion2'.
{panel}
h2. Description of Linked Ticket

4.9.0-alpha5 server offers the following parameters:
{code} ""acceptAPIVersion2""=>false,
 ""requireApiVersion""=>false,
{code}
As a user of the server I would like the server to use consistent case for related parameters, i.e. either use API or Api for both (and all of the other API version-related parameters).
h2. Drivers Changes Needed

Tests should be synced to incorporate the changes from [https://github.com/mongodb/specifications/commit/e728dfbc77e5e3f00a9b8b4301ec59fe14d87eda|https://github.com/mongodb/specifications/commit/e728dfbc77e5e3f00a9b8b4301ec59fe14d87eda].",DRIVERS,Improvement,Stable API,,Depends:SERVER-55317|Issue split:SWIFT-1178|Issue split:CDRIVER-3953|Issue split:CSHARP-3567|Issue split:CXX-2223|Issue split:GODRIVER-1960|Issue split:JAVA-4099|Issue split:MOTOR-709|Issue split:NODE-3201|Issue split:PHPLIB-650|Issue split:PYTHON-2641|Issue split:RUBY-2575|Issue split:RUST-741|Related:SERVER-55791,not_relevant,medium
115,DRIVERS-1857,https://jira.mongodb.org/browse/DRIVERS-1857,opus,spec_authoring,wire-protocol|cursors,high,DRIVERS ticket to update find/getMore/killCursors spec to require OP_MSG for exhaust cursors; spec authoring.,Use OP_MSG for exhaust cursors if the server supports OP_MSG,"*Background & Motivation* 

Exhaust cursors with OP_QUERY currently error against 5.1 development servers with the server change in SERVER-57391.

This only applies to C and Ruby. See the spreadsheet [Drivers affected by removal of OP_QUERY (SERVER-57391 )|https://docs.google.com/spreadsheets/d/1cRICpmQbaitAFCsCAAM1XHun3Ba8qIgjjY1Iot3RNnU/edit#gid=0].

This is required in drivers that support exhaust cursors for 5.1 to avoid a loss of functionality.

*Scope*
 Update the [Find, getMore, killCursors|https://github.com/mongodb/specifications/blob/df6be82f865e9b72444488fd62ae1eb5fca18569/source/find_getmore_killcursors_commands.rst#exhaust] specification to note that drivers must use OP_MSG if the server supports OP_MSG.

Add a test for establishing an exhaust cursor. This may need to be a prose test since not all drivers support exhaust cursors.

Drivers that already support exhaust cursors with OP_QUERY must update to use OP_MSG.

Drivers that do not support exhaust cursors must not make any changes. The proposal to specify exhaust cursor behavior in DRIVERS-535 was rejected because there was no compelling use case.

*Original Description*
{panel:title=Downstream Change Summary|titleBGColor=#239eb0|bgColor=#c2d2c2}
OP_QUERY and OP_GET_MORE messages aren't supported anymore and the server would respond to them with an error OP_REPLY message.
{panel}
h2. Description of Linked Ticket

As part of removing support for OP_QUERY or OP_GET_MORE, the server should return an error indicating that these wire protocol op codes are no longer supported.

However, we need to make sure that the server continues to accept OP_QUERY isMaster commands so that the connection handshake continues to work.

We should ensure that we still count attempted uses of OP_QUERY and OP_GET_MORE in {{db.serverStatus().opcounters.deprecated}}. We must also continue to log warning id 5578800, e.g.:
{noformat}{""t"":{""$date"":""2021-06-03T11:35:40.983-04:00""},""s"":""W"",  ""c"":""COMMAN",DRIVERS,Improvement,,,Depends:SERVER-57391|Issue split:CDRIVER-4130|Issue split:RUBY-2770|Related:HELP-29988,not_relevant,medium
116,DRIVERS-2503,https://jira.mongodb.org/browse/DRIVERS-2503,opus,spec_authoring,sdam,high,"DRIVERS project ticket coordinating spec amendment for connectionId int64 in hello response; mentions C#, Java, Node, Python.",ConnectionId returned in heartbeats may be int64,"{panel:borderStyle=solid|borderColor=#21313c|titleBGColor=#21313c|titleColor=#fafbfc|bgColor=#fafbfc}
h3. *Summary*
In the {{hello}} response, the server will return {{connectionId}} as an {{int32}}, {{int64}}, or even {{double}}. Many drivers (and our specs) assume that it is an {{int32}}. This can result in connection failures in some drivers (e.g. .NET/C#) or truncation of the {{connectionId}} (Java).

h3. *Motivation*
h4. Who is the affected end user?
End users with long-running clusters and high connection churn.

h4. How does this affect the end user?
Depends on how the driver handles the overflow. Some will throw an exception. Others will truncate the {{connectionId}}. Worst case scenario, the user will be unable to connect to the MongoDB cluster.

Note that some drivers like Node.js and Python aren't affected by this bug because they use arbitrary-width numeric types.

h4. How likely is it that this problem or use case will occur?
This issue is relatively infrequent. To overflow an {{int32}} {{connectionId}}, the server would have to churn 100 connections per second for 8 months at a sustained rate. If the churn rate was higher, then the time to overflow would be proportionately shorter. This is mitigated by the fact that the server's {{connectionId}} counter is reset with every server restart.

h4. If the problem does occur, what are the consequences and how severe are they?
Some drivers (like .NET/C#) won't be able to connect until the affected server is restarted. Others like Java will simply truncate the {{connectionId}} making it difficult/impossible to correlate client and server logs. Others like Python and Node.js are unaffected by this bug.

h4. Is this issue urgent?
Given that restarting the affected server resolves the issue for multiple months even at high connection churn rates, this issue does not appear to be urgent at this time.

h4. Is this ticket required by a downstream team?
No.

h4. Is this ticket only for tests?",DRIVERS,Bug,Handshake,,Issue split:CSHARP-4483|Issue split:CXX-2638|Issue split:GODRIVER-2737|Issue split:MOTOR-1084|Issue split:NODE-4971|Issue split:PHPC-2220|Issue split:PYTHON-3571|Issue split:RUBY-3206|Issue split:RUST-1571|Issue split:SWIFT-1692|Issue split:CDRIVER-4557|Issue split:JAVA-4846|Problem/Incident:CSHARP-4417|Related:CDRIVER-4502|Related:SERVER-75293|Related:DRIVERS-1141,driver_spec_nonconformance,high
117,DRIVERS-908,https://jira.mongodb.org/browse/DRIVERS-908,opus,spec_authoring,crud,high,DRIVERS project ticket adding hint parameter to delete/findAndModify across all drivers; spec authoring/coordination.,Allow hinting the delete command,"    {panel:title=Downstream Change Summary|titleBGColor=#239eb0|bgColor=#c2d2c2}
    This change adds a new hint parameter to each statement of the delete command, which works just like hinting in update. In addition, a hint parameter can now be used in findAndModify with remove=true, as well.
    {panel}
    h2. Description of Linked Ticket
    We recently added hint support for updates; we should do the same for the delete command. This work should also lift the restriction that the {{findAndModify}} command cannot include a hint if its {{remove}} parameter is set.
    ",DRIVERS,Improvement,,,Depends:CXX-1947|Depends:PHPC-1561|Depends:PHPLIB-539|Depends:SWIFT-797|Depends:MOTOR-505|Depends:CDRIVER-3552|Depends:CSHARP-2987|Depends:GODRIVER-1508|Depends:JAVA-3638|Depends:NODE-2477|Depends:PYTHON-2142|Depends:RUBY-2148|Depends:RUST-372|Depends:SERVER-44367|Depends:SPEC-1592|Depends:DRIVERS-1340|Related:DRIVERS-970,not_relevant,medium
118,GODRIVER-1798,https://jira.mongodb.org/browse/GODRIVER-1798,opus,not_relevant,,high,Documentation request to add auth instructions to README; doc only.,"Add instructions on how to authenticate yourself in the database in the main README file, at least make the reference to it  ","In the company, we're introducing Mongodb. 

Our is tech stack is mostly gRPC services running on Kubernetes. So we decided to build an Event Sourcing system to track down all our transactions across the microservices interactions. 

We decided to store the events into a Mongodb. At the beginning we got stuck trying to perform operations on the tables, because we need authenticate before that. It took a while to figure it out. A colleague and I got stuck for hours (working in parallel). We realized we had the same problem in the next stand up meeting. All the team agreed that some sort of example and reference to the actual Authentication documentations might come in handy. 

I found [this|https://stackoverflow.com/questions/55127143/how-to-connect-to-a-mlab-mongodb-database-in-golang] on stackoverflow and the accepted solution did the trick.",GODRIVER,Improvement,Authentication|Documentation,,,not_relevant,high
119,GODRIVER-1878,https://jira.mongodb.org/browse/GODRIVER-1878,opus,test_infrastructure,,high,Per DRIVERS-1538: add test that operations succeed when neither expectError nor expectResult specified; UTF runner test.,Add test to ensure drivers expect operations to succeed when neither expectError nor expectResult are specified,"
{html}
    <div id=""script-target-wrapper"">
        <br>
        <b>DRIVERS Ticket Description</b>
        <div id=""lang-script-target"">
            <!-- This block of HTML and the script in it auto-populate the DRIVERS ticket description on page load. -->
            Script Target - If you can read this text, the script has failed
            <script>
                $.get('https://jira.mongodb.org/browse/DRIVERS-1538', function(data) {
                    var description = $(data).find(""#description-val"");
                    $(""#lang-script-target"").html(description);
                });
            </script>
        </div>
    </div>
{html}
",GODRIVER,Improvement,,,Depends:DRIVERS-1538,test_infrastructure,high
120,GODRIVER-1916,https://jira.mongodb.org/browse/GODRIVER-1916,opus,test_infrastructure,csfle,high,Issue split from DRIVERS-1560 implementing KMS TLS verification prose tests; spec test rollout.,Test that KMS TLS connections verify peer certificates,"
{html}
    <div id=""script-target-wrapper"">
        <br>
        <b>DRIVERS Ticket Description</b>
        <div id=""lang-script-target"">
            <!-- This block of HTML and the script in it auto-populate the DRIVERS ticket description on page load. -->
            Script Target - If you can read this text, the script has failed
            <script>
                $.get('https://jira.mongodb.org/browse/DRIVERS-1560', function(data) {
                    var description = $(data).find(""#description-val"");
                    $(""#lang-script-target"").html(description);
                });
            </script>
        </div>
    </div>
{html}
",GODRIVER,Improvement,,,Issue split:DRIVERS-1560,avoidable_by_spec_conformance,medium
121,GODRIVER-2322,https://jira.mongodb.org/browse/GODRIVER-2322,opus,test_infrastructure,,high,"Skip capped collection tests on serverless due to CLOUDP-106443; CI/test fix, not driver behavior.",Fix failing serverless tests,"Serverless tasks have recently been failing in the Go driver due to tests that use capped collections. With CLOUDP-106443, capped collections are now banned on serverless. We should skip relevant tests in {{cursor_test.go}} on serverless.",GODRIVER,Bug,Testing,greenerbuild,Related:CLOUDP-106443,test_infrastructure,medium
122,GODRIVER-252,https://jira.mongodb.org/browse/GODRIVER-252,opus,not_relevant,,high,"Adding FromHex helper to objectid package; API ergonomics addition, not a spec requirement.",Add FromHex function to the objectid package,"There is currently a method to turn an ObjectID into a hex string, but there is no way to create an ObjectID from a hex string. Implement a FromHex function in the objectid package that will allow a user to provide a hex string and get an ObjectID back or an error if the string is not a valid ObjectID.",GODRIVER,Improvement,,,,not_relevant,low
123,GODRIVER-2742,https://jira.mongodb.org/browse/GODRIVER-2742,opus,not_relevant,sessions|server-selection,medium,Per-driver implementation of DRIVERS-2530: do not perform server selection to determine sessions support; sessions spec compliance.,Do not perform server selection to determine sessions support,"This ticket was split from {{DRIVERS-2530}}, please see that ticket for a detailed description. ",GODRIVER,Improvement,Sessions,,Depends:GODRIVER-2572|Gantt End to Start:GODRIVER-2572|Issue split:DRIVERS-2530|Related:GODRIVER-1712|Related:GODRIVER-2885,driver_spec_nonconformance,low
124,GODRIVER-2827,https://jira.mongodb.org/browse/GODRIVER-2827,opus,not_relevant,change-streams,medium,Per-driver implementation of DRIVERS-2617 to handle change stream events exceeding 16MB; spec conformance change.,Avoiding Errors if Change Stream Events Exceed 16MB,"This ticket was split from {{DRIVERS-2617}}, please see that ticket for a detailed description. ",GODRIVER,Improvement,,,Issue split:DRIVERS-2617,driver_spec_nonconformance,low
125,GODRIVER-3425,https://jira.mongodb.org/browse/GODRIVER-3425,opus,not_relevant,,high,"Improve exception message to reference ObjectIdAsHexString option; UX improvement, no spec behavior.",Reference ObjectIdAsHexString decoder option in exception message,"When trying to decode an {{ObjectId}} to a string, the {{ObjectIdAsHexString}} option needs to be enabled to avoid an exception message. However, the exception does not mention this at all. It would be helpful for the exception message to reference the config value to point the user in the right direction if they expected this behaviour.",GODRIVER,Improvement,,,,not_relevant,medium
126,GODRIVER-611,https://jira.mongodb.org/browse/GODRIVER-611,opus,not_relevant,bson,medium,UnmarshalExtJSON fails on multi-element arrays; Go-specific Extended JSON parser bug; unclear which spec rule violated.,UnmarshalExtJSON array fail,"UnmarshalExtJSON fail:

~~~
data := `[ ""201810"", ""201811"" ]`

arr := bson.NewArray()
err := bson.UnmarshalExtJSON([]byte(data), true, &arr)
if err != nil {
    t.Fatal(err)
}
t.Log(arr)
~~~

 
output:
~~~
Cannot read unknown BSON type invalid
~~~

but if data = 'data := `[ ""201810"" ]` works well
 

 ",GODRIVER,Bug,BSON,,,driver_spec_nonconformance,high
127,GODRIVER-710,https://jira.mongodb.org/browse/GODRIVER-710,opus,not_relevant,bson,medium,"Go BSON unmarshaling to interface{} ergonomics; language-binding default decoder behavior, not a BSON spec rule.",Unmarshaling to a interface{} fails,It fails with an invalid type being specified which in this case is 0x00 when using the empty interface decoder. It seems like a good default would be to instead do ReadDocument and set the interface{} to a bson.D,GODRIVER,Bug,BSON,,,driver_spec_nonconformance,high
128,HHVM-255,https://jira.mongodb.org/browse/HHVM-255,opus,driver_spec_nonconformance,read-concern,medium,Read concern incorrectly persisted on client beyond query scope; deviates from per-operation read-concern application.,Query execution should not assign read concern to client,"See: https://github.com/mongodb/mongo-hhvm-driver/commit/6276c1b2f2cc541ab00dd9d3713867f48200bd93#diff-276bb9c557784a4aa37a896b7bae213eR364

The read concern should be assigned to the temporary collection. As-is, it's possible for the read concern to linger after the query is executed and apply to future operations.",HHVM,Bug,,,Related:HHVM-145,driver_spec_nonconformance,high
129,JAVA-1599,https://jira.mongodb.org/browse/JAVA-1599,opus,driver_spec_nonconformance,server-selection,medium,"Adding serverSelectionTimeout configuration; Server Selection spec required option, missing from Java driver.",Add serverSelectionTimeout configuration,,JAVA,Improvement,Configuration,,,driver_spec_nonconformance,high
130,JAVA-1740,https://jira.mongodb.org/browse/JAVA-1740,opus,driver_spec_nonconformance,crud,medium,Filters.not produces wrong query when wrapping Filters.and; query builder bug; CRUD-spec-relevant operator semantics.,Filters.not produces incorrect query when Filters.and is nested in it,"See

https://github.com/mongodb/mongo-java-driver/blob/r3.0.0/driver-core/src/test/unit/com/mongodb/client/model/FiltersSpecification.groovy#L75

",JAVA,Bug,Query Operations,,,driver_spec_nonconformance,high
131,JAVA-1795,https://jira.mongodb.org/browse/JAVA-1795,opus,driver_spec_nonconformance,crud,high,Update with empty document treated as full replacement; CRUD spec requires rejecting empty update document.,Collection update methods should throw if update document is empty,"Collection update methods correctly validate that all keys in the update document start with the '$' character.  However, they don't validate that the update document is not empty.  This is incorrect because an empty update document is considered by the server to be a full document replacement.",JAVA,Bug,Write Operations,,Related:CSHARP-1265,driver_spec_nonconformance,high
132,JAVA-2022,https://jira.mongodb.org/browse/JAVA-2022,opus,not_relevant,,medium,"JsonReader feature request to accept ISODate() shell helper; extended JSON dialect handling, not a BSON spec rule violation.",JsonReader does not accept ISODate(),"Hi

The org.bson.json.JsonReader does not accept fields with ISODate() as content for a current date. Since this is possible in the shell and the JsonReader already accepts Date() as input it would be nice if ISODate() would share the same behaviour. Or am i missing something?

In visitDateTimeConstructor() this case is already handled like this:

{code:java}
JsonToken token = popToken();
if (token.getType() == JsonTokenType.RIGHT_PAREN) {
            return new Date().getTime();
        } 
{code}

Thanks for looking into this!
",JAVA,Improvement,BSON,,Related:JAVA-2024,not_relevant,medium
133,JAVA-2450,https://jira.mongodb.org/browse/JAVA-2450,opus,not_relevant,,medium,"JsonReader scanUnquotedString rejects '+/=' in BinData base64 input; extended JSON parsing bug, not a BSON spec rule.",JsonReader in unable to read all base64 characters when creating BinData,"h2. Issue
Currently *org.bson.json.JsonReader *in unable to read all base64 characters when creating BinData
Troublesome characters:* '+', '/', '='*

This makes for example *org.bson.Document.parse(final String json)* fail when reading documents with binary uuids.

h2. To reproduce:
*in org.bson.json.JsonReaderTest.testBinDataWithNew()  *
replace
`String json = ""{ \""a\"" : new BinData(3, AQID) }"";`

with
`String json = ""{ \""a\"" : new BinData(3, AQIDBA==) }"";`

to get new byte[]{1, 2, 3, 4}

it will fail as *BinDataConstructor* expects only unquotted string as byte value and
*org.bson.json.JsonScanner.scanUnquotedString()*
reads only '$', '_', letters and digits",JAVA,Bug,JSON,,,not_relevant,medium
